D70,r,m,v,,
13.58622464,0.785561298,-0.314285714,0.156196007,219,6
7.611149716,0.81696674,-0.314285714,0.34545599,220,6
14.07012793,0.819953096,-0.314285714,0.179895561,221,6
8.79090439,0.842935517,-0.314285714,-0.105241991,222,6
9.196983201,0.974010654,-0.314285714,0.265224271,223,6
12.18827305,0.989082532,-0.314285714,0.396138751,224,6
11.13528177,0.964055091,-0.314285714,0.050777534,225,6
7.454260527,0.919190884,-0.314285714,0.178617334,226,6
10.57826545,0.956557788,-0.314285714,0.059119196,227,6
21.26876583,0.85374228,-0.314285714,0.307286736,228,6
8.22522948,0.878606611,-0.314285714,0.28315261,229,6
11.04167107,0.900759872,-0.314285714,0.379741687,230,6
10.9982635,0.817752177,-0.314285714,0.051455923,231,6
7.090959032,0.769819234,-0.314285714,0.204091338,232,6
16.7136531,0.760275281,-0.314285714,0.111110093,233,6
16.54793038,0.760751061,-0.314285714,0.172814635,234,6
10.04493902,0.728265072,-0.314285714,0.145727317,235,6
14.06497778,0.776729101,-0.314285714,0.393224514,236,6
12.04790438,0.676514878,-0.657142857,0.024039586,237,7
10.0271282,0.642635648,-0.657142857,0.283230671,238,7
10.45093297,0.638160165,-0.657142857,-0.082149165,239,7
14.4,0.653046449,-0.657142857,0.024757839,240,7
10.22636299,0.638282475,-0.657142857,0.0379493,241,7
6.042226411,0.631360395,-0.657142857,-0.396144089,242,7
3.7568737,0.625500118,-0.657142857,-0.37610716,243,7
14.58109049,0.675237388,-0.657142857,-0.015512702,244,7
10.31542534,0.646899479,-0.657142857,0.104353985,245,7
9.617078558,0.65281595,-0.657142857,0.138969263,246,7
8.837278993,0.632390409,-0.657142857,-0.152173471,247,7
7.150384605,0.651927913,-0.657142857,-0.201876111,248,7
17.82296833,0.687108337,-0.657142857,-0.219813961,249,7
8.758401681,0.662678124,-0.657142857,0.056352968,250,7
11.66291559,0.710837974,-0.657142857,0.327816172,251,7
17.44992837,0.717660668,-0.657142857,-0.315072859,252,7
17.93811584,0.708688426,-0.657142857,-0.226736799,253,7
4.640021552,0.668691108,-0.657142857,0.174920113,254,7
10.68374934,0.62511361,-0.657142857,-0.055581466,255,7
14.14625392,0.929388395,-0.657142857,0.590860127,256,7
14.61406856,0.844691093,-0.657142857,0.371660406,257,7
11.39368246,0.778889788,-0.657142857,0.110682522,258,7
11.63868549,0.8148224,-0.657142857,0.102718597,259,7
19.14956919,0.836513712,-0.657142857,0.226905614,260,7
17.48543394,0.789361677,-0.657142857,0.080377185,261,7
16.55582677,0.729683325,-0.657142857,-0.092718812,262,7
18.4715132,0.712464254,-0.657142857,0.010079292,263,7
20.74872526,0.739053355,-0.657142857,0.032832874,264,7
20.25265908,0.751504887,-0.657142857,0.100955605,265,7
19.51990779,0.702112338,-0.657142857,0.092996765,266,7
15.3249013,0.700928683,-0.657142857,-0.046869256,267,7
13.70367834,0.659086401,-0.657142857,0.117478829,268,7
16.82419092,0.684118774,-0.657142857,0.063160088,269,7
2.693325082,0.657864316,-0.657142857,-0.352141716,270,7
9.884250098,0.678270077,-0.657142857,-0.435344298,271,7
7.411551794,0.694513536,-0.657142857,0.316097452,272,7
3.779285647,0.73416327,-0.657142857,0.247495256,273,7
10.93811684,0.732968023,-0.657142857,-0.342470476,274,7
21.92299706,0.720177201,-0.657142857,-0.625489904,275,7
13.59303498,0.825766805,-0.657142857,0.065617987,276,7
11.18420762,0.763122107,-0.657142857,0.670870244,277,7
17.90079049,0.691520535,-0.657142857,-0.262451064,278,7
7.239889502,0.721097395,-0.657142857,0.212276275,279,7
10.48606218,0.6926841,-0.657142857,-0.304722048,280,7
13.76996732,0.826609165,-0.657142857,0.34545599,281,7
20.4834128,0.882770368,-0.657142857,-0.105241991,282,7
6.941282302,0.840270385,-0.657142857,0.178617334,283,7
17.21785701,0.88389971,-0.657142857,0.059119196,284,7
11.82811904,0.806916739,-0.657142857,0.322513471,285,7
15.45633851,0.830535698,-0.657142857,0.379741687,286,7
7.458471693,0.749257732,-0.657142857,0.051455923,287,7
4.528741547,0.716345744,-0.657142857,0.204091338,288,7
6.6690704,0.713913389,-0.657142857,0.111110093,289,7
10.48661528,0.696527835,-0.657142857,0.172814635,290,7
9.345351786,0.662043457,-0.657142857,0.145727317,291,7
9.047839521,0.830070858,-0.314285714,0.024039586,292,8
13.06203659,0.847897793,-0.314285714,0.283230671,293,8
7.760264171,0.816170376,-0.314285714,-0.082149165,294,8
8.901893057,0.698573616,-0.314285714,0.233249123,295,8
9.8285299,0.768268866,-0.314285714,0.024757839,296,8
7.333839376,0.796680669,-0.314285714,0.0379493,297,8
23.208576,0.86923908,-0.314285714,-0.396144089,298,8
19.27256081,0.84300649,-0.314285714,-0.37610716,299,8
9.658674857,0.739375934,-0.314285714,0.030260449,300,8
16.76369291,0.780153617,-0.314285714,-0.015512702,301,8
14.62712549,0.813206348,-0.314285714,0.104353985,302,8
15.4491715,0.615457024,-0.314285714,-0.071903459,303,8
8.739130392,0.68853691,-0.314285714,0.582089937,304,8
17.54402462,0.920202609,-0.314285714,0.371660406,305,8
15.07982759,0.688969678,-0.314285714,-0.018179249,306,8
3.391489348,0.569429728,-0.314285714,0.396588657,307,8
6.210475022,0.564100667,-0.314285714,0.101868898,308,8
10.88148427,0.639582128,-0.314285714,0.226905614,309,8
8.671470464,0.694511459,-0.314285714,0.080377185,310,8
8.574088873,0.622783903,-0.314285714,0.377702251,311,8
5.221953657,0.57235317,-0.314285714,0.175132282,312,8
11.50154337,0.771976903,-0.314285714,0.5189383,313,8
13.18925699,0.78448041,-0.314285714,-0.092718812,314,8
12.71822315,0.757672509,-0.314285714,0.010079292,315,8
22.26212254,0.694126569,-0.314285714,0.032832874,316,8
5.478211387,0.636701433,-0.314285714,0.100955605,317,8
7.232634375,0.736852186,-0.314285714,0.092996765,318,8
11.31988958,0.809540351,-0.314285714,-0.046869256,319,8
5.957348403,0.797836131,-0.314285714,0.117478829,320,8
10.47923661,0.726455366,-0.314285714,0.063160088,321,8
6.331587479,0.643330596,-0.314285714,0.141198437,322,8
19.36647619,0.96766534,-0.314285714,0.065617987,323,8
24.59157173,0.854287109,-0.314285714,-0.262451064,324,8
9.619844074,0.914093971,-0.314285714,0.212276275,325,8
18.29923496,0.87969306,-0.314285714,-0.428875972,326,8
16.99978529,0.787230352,-0.314285714,0.473065614,327,8
15.24340841,0.853609346,-0.314285714,0.265224271,328,8
15.75299971,0.805236398,-0.314285714,0.050777534,329,8
17.5363052,0.749419024,-0.314285714,0.461935473,330,8
12.04999585,0.846773119,-0.314285714,0.059119196,331,8
13.61713259,0.818549364,-0.314285714,0.307286736,332,8
11.10819517,0.757978699,-0.314285714,0.28315261,333,8
9.531552864,0.716360955,-0.314285714,0.379741687,334,8
14.64841971,0.806182794,-0.542857143,0.024039586,335,9
11.64130577,0.788662711,-0.542857143,-0.082149165,336,9
8.9442775,0.661112692,-0.542857143,0.233249123,337,9
5.36236888,0.767137374,-0.542857143,0.0379493,338,9
10.20241148,0.81762734,-0.542857143,-0.37610716,339,9
7.643807952,0.707697241,-0.542857143,0.030260449,340,9
13.34025487,0.751942555,-0.542857143,-0.015512702,341,9
16.13764233,0.912698497,-0.542857143,0.371660406,342,9
15.42512561,0.701875989,-0.542857143,-0.018179249,343,9
3.554968354,0.601908921,-0.542857143,0.396588657,344,9
7.050815556,0.577134755,-0.542857143,0.101868898,345,9
15.93049591,0.632267036,-0.542857143,0.226905614,346,9
9.187349999,0.674485406,-0.542857143,0.080377185,347,9
9.892704383,0.600119578,-0.542857143,0.377702251,348,9
9.554972527,0.549724708,-0.542857143,0.175132282,349,9
11.53260595,0.752300065,-0.542857143,0.5189383,350,9
14.78669334,0.761411296,-0.542857143,-0.092718812,351,9
14.90790394,0.730049273,-0.542857143,0.010079292,352,9
12.10325576,0.662860161,-0.542857143,0.032832874,353,9
6.949647473,0.599619328,-0.542857143,0.100955605,354,9
10.30638152,0.705429601,-0.542857143,0.092996765,355,9
7.009850212,0.769661897,-0.542857143,0.117478829,356,9
10.59905656,0.691342585,-0.542857143,0.063160088,357,9
4.758403093,0.603663248,-0.542857143,0.141198437,358,9
14.47219403,0.801596145,-0.542857143,0.307286736,359,9
16.55674485,0.743440518,-0.542857143,0.28315261,360,9
15.79465099,0.707645808,-0.542857143,0.379741687,361,9
12.15366611,0.82389647,-0.2,0.024039586,362,10
20.49755839,0.84060518,-0.2,0.283230671,363,10
9.299655908,0.807925865,-0.2,-0.082149165,364,10
14.39949999,0.687124704,-0.2,0.233249123,365,10
16.33686628,0.758048413,-0.2,0.024757839,366,10
11.71979095,0.78697136,-0.2,0.0379493,367,10
28.10622707,0.834018029,-0.2,-0.37610716,368,10
14.49879995,0.726938988,-0.2,0.030260449,369,10
27.56866518,0.768459316,-0.2,-0.015512702,370,10
19.16423753,0.802704587,-0.2,0.104353985,371,10
18.74104586,0.63182487,-0.2,-0.071903459,372,10
12.34746938,0.697791199,-0.2,0.582089937,373,10
27.74499955,0.967953912,-0.2,0.336701259,374,10
23.0308923,0.918803423,-0.2,0.371660406,375,10
15.042779,0.912857284,-0.2,0.102718597,376,10
15.95189017,0.695991596,-0.2,-0.018179249,377,10
6.393778226,0.581855827,-0.2,0.396588657,378,10
8.587118259,0.571864166,-0.2,0.101868898,379,10
11.87205964,0.641958157,-0.2,0.226905614,380,10
5.431132479,0.69262734,-0.2,0.080377185,381,10
11.95744956,0.620681153,-0.2,0.377702251,382,10
10.92752946,0.768961343,-0.2,0.5189383,383,10
13.79379571,0.751836868,-0.2,0.010079292,384,10
19.91422607,0.688140755,-0.2,0.032832874,385,10
8.504387103,0.628679787,-0.2,0.100955605,386,10
10.35195634,0.729716482,-0.2,0.092996765,387,10
11.61531317,0.804062332,-0.2,-0.046869256,388,10
9.430291618,0.790259204,-0.2,0.117478829,389,10
12.75283498,0.717049116,-0.2,0.063160088,390,10
7.00279944,0.630950282,-0.2,0.141198437,391,10
21.21763418,0.964865546,-0.2,0.065617987,392,10
22.30906542,0.84881063,-0.2,-0.262451064,393,10
19.25065194,0.793020958,-0.2,0.473065614,394,10
17.97578927,0.855994955,-0.2,0.265224271,395,10
18.61850155,0.808611907,-0.2,0.050777534,396,10
20.03149021,0.753783953,-0.2,0.461935473,397,10
18.4855403,0.826470814,-0.2,0.178617334,398,10
14.5348065,0.848393334,-0.2,0.059119196,399,10
12.47326341,0.815622236,-0.2,0.307286736,400,10
12.92794647,0.756874695,-0.2,0.28315261,401,10
14.2232099,0.717546698,-0.2,0.379741687,402,10
10.22337518,0.810956849,-0.371428571,-0.082149165,403,11
14.6558896,0.783491855,-0.371428571,0.0379493,404,11
11.84787323,0.7848016,-0.371428571,-0.396144089,405,11
18.58631755,0.755359398,-0.371428571,-0.37610716,406,11
16.30292305,0.736104015,-0.371428571,0.104353985,407,11
13.58442859,0.692835604,-0.371428571,0.138969263,408,11
11.68588893,0.720989525,-0.371428571,-0.152173471,409,11
23.20575791,0.708166201,-0.371428571,-0.201876111,410,11
14.53102887,0.650927644,-0.371428571,-0.219813961,411,11
15.7468092,0.666974009,-0.371428571,0.056352968,412,11
13.2938482,0.610399007,-0.371428571,0.327816172,413,11
16.59518002,0.664393871,-0.371428571,-0.315072859,414,11
6.541788746,0.617222267,-0.371428571,-0.226736799,415,11
5.573508769,0.626998757,-0.371428571,0.746452675,416,11
13.65184603,0.76431567,-0.371428571,-0.055581466,417,11
8.738386579,0.777744911,-0.371428571,-0.352141716,418,11
13.41517797,0.768729316,-0.371428571,-0.435344298,419,11
14.65972374,0.731038597,-0.371428571,0.624540823,420,11
6.356272493,0.717554895,-0.371428571,0.071788494,421,11
16.96403254,0.762127606,-0.371428571,0.433379714,422,11
11.0953684,0.788902428,-0.371428571,0.316097452,423,11
16.70391272,0.847240293,-0.371428571,0.247495256,424,11
7.912932453,0.818637425,-0.371428571,-0.342470476,425,11
2.182086158,0.804156833,-0.371428571,0.304716899,426,11
12.49455882,0.838782846,-0.371428571,0.454567478,427,11
15.64234637,0.835462765,-0.371428571,-0.553437866,428,11
6.356414083,0.859782684,-0.371428571,0.339330534,429,11
12.13790756,0.888358898,-0.371428571,0.212276275,430,11
20.64191852,0.842383627,-0.371428571,-0.428875972,431,11
8.892536196,0.839645363,-0.371428571,0.34545599,432,11
3.219192445,0.824965867,-0.371428571,0.179895561,433,11
5.137402067,0.833986394,-0.371428571,-0.105241991,434,11
10.67876397,0.859453586,-0.371428571,0.434924784,435,11
11.21424095,0.891665488,-0.371428571,0.051455923,436,11
13.40375321,0.844672147,-0.371428571,0.204091338,437,11
12.73792369,0.833374798,-0.371428571,0.111110093,438,11
11.20389218,0.844188367,-0.371428571,0.172814635,439,11
15.6729257,0.823083892,-0.371428571,0.145727317,440,11
12.27633496,0.754492756,-0.371428571,0.393224514,441,11
11.91973154,0.745876505,-0.371428571,0.155513189,442,11
7.064502813,0.914138843,-0.371428571,0.167269692,443,11
14.20165483,0.98111801,-0.314285714,-0.082149165,444,12
18.02415047,0.682374137,-0.314285714,-0.071903459,445,12
12.79680429,0.816989081,-0.314285714,-0.018179249,446,12
8.899286488,0.722953491,-0.314285714,0.396588657,447,12
11.05224864,0.7543668,-0.314285714,0.101868898,448,12
12.21618598,0.822857174,-0.314285714,0.226905614,449,12
9.647486719,0.876260367,-0.314285714,0.080377185,450,12
15.45844429,0.832789189,-0.314285714,0.377702251,451,12
11.71243783,0.803473341,-0.314285714,0.175132282,452,12
15.8930425,0.947567174,-0.314285714,-0.092718812,453,12
12.25959216,0.966751501,-0.314285714,0.117478829,454,12
9.769733876,0.954876391,-0.314285714,0.059119196,455,12
11.06825641,0.913492513,-0.314285714,0.28315261,456,12
9.143325434,0.874177306,-0.314285714,0.379741687,457,12
6.819457456,0.562254125,-0.314285714,0.024039586,458,13
9.534275012,0.578067322,-0.314285714,0.283230671,459,13
11.98476533,0.565676533,-0.314285714,-0.082149165,460,13
14.99315844,0.600939424,-0.314285714,0.233249123,461,13
10.38797382,0.702049097,-0.314285714,0.464357724,462,13
15.25621185,0.583361458,-0.314285714,0.024757839,463,13
12.21824455,0.587028018,-0.314285714,0.0379493,464,13
14.22998595,0.609507523,-0.314285714,-0.396144089,465,13
21.53043427,0.613318183,-0.314285714,-0.37610716,466,13
16.95494028,0.644926253,-0.314285714,0.030260449,467,13
24.15049482,0.655170295,-0.314285714,-0.015512702,468,13
23.33582653,0.63855002,-0.314285714,0.104353985,469,13
21.85176423,0.677399075,-0.314285714,0.138969263,470,13
20.72965267,0.655322032,-0.314285714,-0.152173471,471,13
24.93556496,0.694283326,-0.314285714,-0.201876111,472,13
31.61645141,0.72676997,-0.314285714,-0.219813961,473,13
21.72232262,0.713651615,-0.314285714,0.056352968,474,13
30.58888687,0.780461692,-0.314285714,-0.315072859,475,13
10.08139375,0.718755627,-0.314285714,0.174920113,476,13
17.68155819,0.605764604,-0.314285714,-0.055581466,477,13
14.80575901,0.832128383,-0.314285714,-0.071903459,478,13
12.63508211,0.865066875,-0.314285714,0.460068738,479,13
17.43349363,0.825588152,-0.314285714,0.336701259,480,13
11.55440176,0.733189147,-0.314285714,0.371660406,481,13
8.306142306,0.655927193,-0.314285714,0.110682522,482,13
11.06938119,0.705399252,-0.314285714,0.102718597,483,13
10.47224904,0.754623079,-0.314285714,-0.018179249,484,13
10.07781226,0.772390294,-0.314285714,0.396588657,485,13
